t_s,num_ghosts,phase,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m,px4_4_est_x,px4_4_est_y,px4_4_est_z,px4_4_gt_x,px4_4_gt_y,px4_4_gt_z,px4_4_error_m
10.163,3,attack,-0.0000,0.0401,-0.4085,-0.0000,0.0000,-0.0130,0.3975,-0.0000,2.0936,-0.4081,-0.0000,2.0000,-0.0130,0.4061,-0.0000,3.0743,-0.4150,-0.0000,3.0000,-0.0130,0.4088
10.268,3,attack,-0.0000,0.0915,-0.4410,-0.0000,0.0000,-0.0130,0.4377,-0.0000,2.1399,-0.4143,-0.0000,2.0000,-0.0130,0.4249,-0.0000,3.1351,-0.4271,-0.0000,3.0000,-0.0130,0.4356
10.364,3,attack,-0.0000,0.1453,-0.4243,-0.0000,0.0000,-0.0130,0.4362,-0.0000,2.1569,-0.4311,-0.0000,2.0000,-0.0130,0.4465,-0.0000,3.1702,-0.4226,-0.0000,3.0000,-0.0130,0.4436
10.463,3,attack,-0.0000,0.1698,-0.4418,-0.0000,0.0000,-0.0130,0.4612,-0.0000,2.1494,-0.4326,-0.0000,2.0000,-0.0130,0.4454,-0.0000,3.1774,-0.4341,-0.0000,3.0000,-0.0130,0.4569
10.565,3,attack,-0.0000,0.1674,-0.4223,-0.0000,0.0000,-0.0130,0.4422,-0.0000,2.1718,-0.4285,-0.0000,2.0000,-0.0130,0.4496,-0.0000,3.2096,-0.4291,-0.0000,3.0000,-0.0130,0.4659
10.666,3,attack,-0.0000,0.1597,-0.4308,-0.0000,0.0000,-0.0130,0.4473,-0.0000,2.1929,-0.4235,-0.0000,2.0000,-0.0130,0.4536,-0.0000,3.1426,-0.4139,-0.0000,3.0000,-0.0130,0.4255
10.765,3,attack,-0.0000,0.1778,-0.4130,-0.0000,0.0000,-0.0130,0.4378,-0.0000,2.1802,-0.4076,-0.0000,2.0000,-0.0130,0.4338,-0.0000,3.1515,-0.4072,-0.0000,3.0000,-0.0130,0.4223
10.867,3,attack,-0.0000,0.2126,-0.4055,-0.0000,0.0000,-0.0130,0.4464,-0.0000,2.1950,-0.4062,-0.0000,2.0000,-0.0130,0.4389,-0.0000,3.1825,-0.3969,-0.0000,3.0000,-0.0130,0.4251
10.967,3,attack,-0.0000,0.2362,-0.4211,-0.0000,0.0000,-0.0130,0.4715,-0.0000,2.2181,-0.4054,-0.0000,2.0000,-0.0130,0.4490,-0.0000,3.2252,-0.4145,-0.0000,3.0000,-0.0130,0.4603
11.077,3,attack,-0.0000,0.2150,-0.4189,-0.0000,0.0000,-0.0130,0.4593,-0.0000,2.2430,-0.4196,-0.0000,2.0000,-0.0130,0.4737,-0.0000,3.2592,-0.4108,-0.0000,3.0000,-0.0130,0.4748
