timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
1287592000,9936.233,8.536195,0,0,3086,1024000,0,3,1,194
1288592000,9944.56,8.536015,0,0,3186,1024000,0,3,1,194
1289592000,9953.711,8.536542,0,0,2484,1024000,0,3,1,194
1290592000,9962.018,8.5363455,0,0,2604,1024000,0,3,1,194
1291592000,9970.483,8.536284,0,0,2604,1024000,0,3,1,194
1292592000,9978.907,8.536189,0,0,2604,1024000,0,3,1,194
1293592000,9988.815,8.537362,0,0,1027,1024000,0,3,1,194
1294592000,9997.327,8.53734,0,0,926,1024000,0,3,1,194
1295592000,10004.263,8.535973,0,0,2468,1024000,0,3,1,194
1296592000,10012.589,8.535794,0,0,2568,1024000,0,3,1,194
1297592000,10021.055,8.535734,0,0,2568,1024000,0,3,1,194
1298592000,10029.479,8.53564,0,0,2568,1024000,0,3,1,194
1299592000,10037.944,8.53558,0,0,2568,1024000,0,3,1,194
1300592000,10046.357,8.535476,0,0,2479,1024000,0,3,1,194
1301592000,10054.823,8.535417,0,0,2479,1024000,0,3,1,194
1302592000,10063.247,8.535322,0,0,2479,1024000,0,3,1,194
1303592000,10071.615,8.53518,0,0,2579,1024000,0,3,1,194
1304592000,10080.039,8.535087,0,0,2579,1024000,0,3,1,194
1305592000,10088.505,8.5350275,0,0,2579,1024000,0,3,1,194
1306592000,10096.929,8.534934,0,0,2479,1024000,0,3,1,194
1307592000,10105.395,8.534875,0,0,2468,1024000,0,3,1,194
1308592000,10113.818,8.534781,0,0,2468,1024000,0,3,1,194
1309592000,10122.284,8.534723,0,0,2468,1024000,0,3,1,194
1310592000,10130.61,8.534548,0,0,2568,1024000,0,3,1,194
1311592000,10139.076,8.53449,0,0,2568,1024000,0,3,1,194
1312592000,10147.5,8.534397,0,0,2568,1024000,0,3,1,194
1313592000,10155.966,8.534338,0,0,2468,1024000,0,3,1,194
1314592000,10164.39,8.534246,0,0,2468,1024000,0,3,1,194
1315592000,10172.845,8.53418,0,0,2479,1024000,0,3,1,194
1316592000,10182.099,8.534783,0,0,1629,1024000,0,3,1,194
1317592000,10190.467,8.534643,0,0,1729,1024000,0,3,1,194
1318592000,10198.891,8.534551,0,0,1729,1024000,0,3,1,194
1319592000,10207.356,8.534493,0,0,1729,1024000,0,3,1,194
1320592000,10215.78,8.534401,0,0,1618,1024000,0,3,1,194
1321592000,10224.246,8.534343,0,0,1593,1024000,0,3,1,194
1322592000,10232.67,8.534252,0,0,1593,1024000,0,3,1,194
1323592000,10241.136,8.534194,0,0,1593,1024000,0,3,1,194
1324592000,10249.56,8.534103,0,0,1573,1024000,0,3,1,194
