timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
1049248000,0,0,0,1,255
1051264000,0,0,0,1,255
1053280000,0,0,0,1,255
1055296000,0,0,0,1,255
1057312000,0,0,0,1,255
1059328000,0,0,0,1,255
1061344000,0,0,0,1,255
1063360000,0,0,0,1,255
1065376000,0,0,0,1,255
1067392000,0,0,0,1,255
1069408000,0,0,0,1,255
1071424000,0,0,0,1,255
1073440000,0,0,0,1,255
1075456000,0,0,0,1,255
1077472000,0,0,0,1,255
1079488000,0,0,0,1,255
1081504000,0,0,0,1,255
1083520000,0,0,0,1,255
1085536000,0,0,0,1,255
1087552000,0,0,0,1,255
1089568000,0,0,0,1,255
1091584000,0,0,0,1,255
1093600000,0,0,0,1,255
1095616000,0,0,0,1,255
1097632000,0,0,0,1,255
1099648000,0,0,0,1,255
1101664000,0,0,0,1,255
1103680000,0,0,0,1,255
1105696000,0,0,0,1,255
1107712000,0,0,0,1,255
1109728000,0,0,0,1,255
1111744000,0,0,0,1,255
1113760000,0,0,0,1,255
1115776000,0,0,0,1,255
1117792000,0,0,0,1,255
1119808000,0,0,0,1,255
1121824000,0,0,0,1,255
1123840000,0,0,0,1,255
1125856000,0,0,0,1,255
1127872000,0,0,0,1,255
1129888000,0,0,0,1,255
1131904000,0,0,0,1,255
1133920000,0,0,0,1,255
1135936000,0,0,0,1,255
1137952000,0,0,0,1,255
1139968000,0,0,0,1,255
1141984000,0,0,0,1,255
1144000000,0,0,0,1,255
1146016000,0,0,0,1,255
1148032000,0,0,0,1,255
1150048000,0,0,0,1,255
1152064000,0,0,0,1,255
1154080000,0,0,0,1,255
1156096000,0,0,0,1,255
1158112000,0,0,0,1,255
1160128000,0,0,0,1,255
1162144000,0,0,0,1,255
1164160000,0,0,0,1,255
1166176000,0,0,0,1,255
1168192000,0,0,0,1,255
1170208000,0,0,0,1,255
1172224000,0,0,0,1,255
1174240000,0,0,0,1,255
1176256000,0,0,0,1,255
1178272000,0,0,0,1,255
1180292000,0,0,0,1,255
1182308000,0,0,0,1,255
1184324000,0,0,0,1,255
1186340000,0,0,0,1,255
1188356000,0,0,0,1,255
1190372000,0,0,0,1,255
1192388000,0,0,0,1,255
1194404000,0,0,0,1,255
1196420000,0,0,0,1,255
1198436000,0,0,0,1,255
1200452000,0,0,0,1,255
1202468000,0,0,0,1,255
1204484000,0,0,0,1,255
1206500000,0,0,0,1,255
1208516000,0,0,0,1,255
1210532000,0,0,0,1,255
1212548000,0,0,0,1,255
1214564000,0,0,0,1,255
1216580000,0,0,0,1,255
1218596000,0,0,0,1,255
1220612000,0,0,0,1,255
1222628000,0,0,0,1,255
1224644000,0,0,0,1,255
1226660000,0,0,0,1,255
1228676000,0,0,0,1,255
1230692000,0,0,0,1,255
1232708000,0,0,0,1,255
1234724000,0,0,0,1,255
1236740000,0,0,0,1,255
1238756000,0,0,0,1,255
1240772000,0,0,0,1,255
1242788000,0,0,0,1,255
1244804000,0,0,0,1,255
1246820000,0,0,0,1,255
1248836000,0,0,0,1,255
